content_id,impressions,position,refresh_probability,action_label,reason_code
content_84ccd2a99d8a6d3e,1,8.0,0.9711568460540094,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5e8bd8fca9996f1c,1,7.0,0.9636044364333034,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_d04b831ee5fe3376,1,7.0,0.9636044364333034,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_49cc7a7d3bb2076a,1,7.0,0.9636044364333034,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_fc0fd3a2b800d4da,2,7.0,0.9636044364333034,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_23503139b8a0816c,56,9.928571428571429,0.9635997314168401,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b5e53ac7c722bbbc,3,7.333333333333333,0.962380489648381,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_bdc656fc8f037ac0,3,6.666666666666667,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_fc9f049b7164f7f4,2,6.5,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_0d390e4afce08814,6,6.333333333333333,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_7f2dadfbfe673267,4,6.5,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_12185aa632c485b6,3,6.333333333333333,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b42638ecee1f8fe3,2,6.5,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_3ccfbc8ea2d32471,2,6.5,0.9622420120789485,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_56d228bde229f3be,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a9a07c4648f79b56,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_013303b4d28f30d9,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a29f8f00b2d9b114,3,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_3a9a5e7145258be5,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_855c8dcc11e6baa9,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_57b6bab680236721,2,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_e7c692bf024d38e6,1,6.0,0.9584361251984668,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_80dc8ad3abce8eb8,2,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_91ae0a6bcb3f873b,1,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_e881f825d1e32634,1,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_dc33022d7da989ad,1,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_1ba7cb2475b01378,2,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_fbfacbd814b2beb1,1,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_88a6e637dd483879,1,5.0,0.948241110185111,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_16fa234ada23db28,4,5.5,0.9478199186436517,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_cf8b6847f9471eb6,1,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_22cdf529619864a2,1,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_ef0084475d758dae,1,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_af2be1e09f7b3a7b,2,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_bbd6083731250583,2,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5b00ca996bd67628,1,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_da64d0097e1410a5,4,1.0,0.9444293703068017,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_f4fb298378484a01,2,4.5,0.9437866485241919,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_2b7bdb6aab2de606,5,4.2,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5486fe000b413100,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b6e8785ef92f0424,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_f5246bee4ad2cc21,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_83a3a250aa9a5e1e,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_790c45032fd6b040,2,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_240c6d1acf09ecd7,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_1810e816905ce305,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_38cba7d2e2a824fb,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_53f4acc960983a0f,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b3de113fa0ad38fa,1,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_84b05d1d2d5a9efd,3,4.0,0.9332211679203449,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_478487452b5beac0,1,3.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_64eb4afb6e3fff19,1,3.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_167c683dde4e8859,1,2.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a1b48fce3cd1c3a9,4,3.25,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_0b8d2f0e45198060,2,3.5,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_62dffdf408ee8783,1,2.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_9aeb71fbf997eb42,4,1.75,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_3304b79d07780709,1,2.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_924fcfa2714a8454,1,2.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_315f75aa07a662bf,2,3.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b1ba6d7c35dad2ee,2,3.0,0.9292078681396992,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_25aac3e5439711c6,93,7.526881720430108,0.9043983320610911,IMMEDIATE_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
